#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.knownGene.alignID	mm10.kgXref.kgID	mm10.kgXref.mRNA	mm10.kgXref.spID	mm10.kgXref.spDisplayID	mm10.kgXref.geneSymbol	mm10.kgXref.refseq	mm10.kgXref.protAcc	mm10.kgXref.description	mm10.kgXref.tRnaName
ENSMUST00000145607.1	chr2	-	25223522	25224654	uc289tul.1	ENSMUST00000145607.1	AK015901			Tubb4b			Tubb4b (from geneSymbol)	
ENSMUST00000043584.4	chr2	-	25222159	25224702	uc008iqs.3	ENSMUST00000043584.4	NM_146116	P68372	TBB4B_MOUSE	Tubb4b	NM_146116	NM_146116	Mus musculus tubulin, beta 4B class IVB (Tubb4b), mRNA. (from RefSeq NM_146116)	
ENSMUST00000150550.1	chr2	+	25441307	25442917	uc289txn.1	ENSMUST00000150550.1	AK129274			Abca2			Abca2 (from geneSymbol)	
ENSMUST00000143075.1	chr2	+	25442947	25443813	uc289txo.1	ENSMUST00000143075.1	AK129274			Abca2			Abca2 (from geneSymbol)	
ENSMUST00000141065.1	chr2	+	25445842	25446476	uc289txs.1	ENSMUST00000141065.1	AK137580			Abca2			Abca2 (from geneSymbol)	
ENSMUST00000144560.1	chr2	+	25445821	25446542	uc289txr.1	ENSMUST00000144560.1	AK137580			Abca2			Abca2 (from geneSymbol)	
ENSMUST00000125520.7	chr2	+	25445161	25446865	uc289txp.1	ENSMUST00000125520.7	AK137580			Abca2			Abca2 (from geneSymbol)	
ENSMUST00000149385.7	chr2	+	25445664	25447067	uc289txq.1	ENSMUST00000149385.7	AK137580			Abca2			Abca2 (from geneSymbol)	
ENSMUST00000102919.3	chr2	+	25428702	25448540	uc008isc.2	ENSMUST00000102919.3	NM_007379	A2AJ26	A2AJ26_MOUSE	Abca2	NM_007379	NM_007379	Mus musculus ATP-binding cassette, sub-family A (ABC1), member 2 (Abca2), transcript variant 1, mRNA. (from RefSeq NM_007379)	
ENSMUST00000143862.1	chr2	+	25457635	25458215	uc289txz.1	ENSMUST00000143862.1	AK009020			Clic3			Clic3 (from geneSymbol)	
ENSMUST00000140022.7	chr2	+	25456837	25458676	uc289txv.1	ENSMUST00000140022.7	BC060967			Clic3			Clic3 (from geneSymbol)	
ENSMUST00000132311.1	chr2	+	25456896	25458683	uc289txy.1	ENSMUST00000132311.1	AK009020			Clic3			Clic3 (from geneSymbol)	
ENSMUST00000114265.8	chr2	+	25456837	25458776	uc008isd.2	ENSMUST00000114265.8	NM_027085	Q9D7P7	CLIC3_MOUSE	Clic3	NM_027085	NM_027085	Mus musculus chloride intracellular channel 3 (Clic3), mRNA. (from RefSeq NM_027085)	
ENSMUST00000102918.2	chr2	+	25456848	25458776	uc289txw.1	ENSMUST00000102918.2	BC060967	A2AJ28	A2AJ28_MOUSE	Clic3			Contains 1 GST C-terminal domain. (from UniProt A2AJ28)	
ENSMUST00000142006.7	chr2	+	25456890	25458776	uc289txx.1	ENSMUST00000142006.7	BC060967			Clic3			Clic3 (from geneSymbol)	
ENSMUST00000128942.1	chr2	-	25584134	25585060	uc289tzu.1	ENSMUST00000128942.1	AK171643			Rabl6			Rabl6 (from geneSymbol)	
ENSMUST00000135084.1	chr2	-	25585188	25585823	uc289tzv.1	ENSMUST00000135084.1	BC051138			Rabl6			Rabl6 (from geneSymbol)	
ENSMUST00000143855.1	chr2	-	25585673	25587307	uc289tzw.1	ENSMUST00000143855.1	BC051138			Rabl6			Rabl6 (from geneSymbol)	
ENSMUST00000140778.1	chr2	-	25587444	25589159	uc289tzx.1	ENSMUST00000140778.1	BC051138			Rabl6			Rabl6 (from geneSymbol)	
ENSMUST00000150206.7	chr2	-	25584110	25590372	uc289tzs.1	ENSMUST00000150206.7	BC006855			Rabl6			Rabl6 (from geneSymbol)	
ENSMUST00000140785.1	chr2	-	25596487	25608456	uc289tzz.1	ENSMUST00000140785.1	AK171643			Rabl6			Rabl6 (from geneSymbol)	
ENSMUST00000146012.7	chr2	-	25584110	25608465	uc289tzt.1	ENSMUST00000146012.7	AK045520			Rabl6			Rabl6 (from geneSymbol)	
ENSMUST00000140635.7	chr2	-	25587526	25608485	uc289tzy.1	ENSMUST00000140635.7	AK157020			Rabl6			Rabl6 (from geneSymbol)	
ENSMUST00000058137.8	chr2	-	25583017	25608521	uc008isr.2	ENSMUST00000058137.8	NM_001024616	Q5U3K5	RABL6_MOUSE	Rabl6	NM_001024616	NM_001024616	Mus musculus RAB, member RAS oncogene family-like 6 (Rabl6), mRNA. (from RefSeq NM_001024616)	
ENSMUST00000128149.1	chr2	-	25620326	25621780	uc289uae.1	ENSMUST00000128149.1	BC048537			Tmem141			Tmem141 (from geneSymbol)	
ENSMUST00000155893.1	chr2	-	25621493	25621907	uc289uah.1	ENSMUST00000155893.1	BC048537			Tmem141			Tmem141 (from geneSymbol)	
ENSMUST00000150165.7	chr2	-	25620103	25621963	uc289uad.1	ENSMUST00000150165.7	BC048537			Tmem141			Tmem141 (from geneSymbol)	
ENSMUST00000132348.7	chr2	-	25621046	25621968	uc289uaf.1	ENSMUST00000132348.7	AK004380			Tmem141			Tmem141 (from geneSymbol)	
ENSMUST00000136952.1	chr2	-	25621046	25621971	uc289uag.1	ENSMUST00000136952.1	AK004380			Tmem141			Tmem141 (from geneSymbol)	
ENSMUST00000028308.10	chr2	-	25620066	25621985	uc289uac.1	ENSMUST00000028308.10	AK004380	F8WGV9	F8WGV9_MOUSE	Tmem141			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F8WGV9)	
ENSMUST00000142087.1	chr2	-	25620066	25622005	uc008isy.3	ENSMUST00000142087.1	NM_001109993	A2AJB2	TM141_MOUSE	Tmem141	NM_001109993	NM_001109993	Mus musculus transmembrane protein 141 (Tmem141), transcript variant 2, mRNA. (from RefSeq NM_001109993)	
ENSMUST00000126921.1	chr2	-	26061063	26062490	uc289ubz.1	ENSMUST00000126921.1	AK157946			Nacc2			Nacc2 (from geneSymbol)	
ENSMUST00000128674.1	chr2	-	26064491	26090375	uc289ucb.1	ENSMUST00000128674.1	AK043047			Nacc2			Nacc2 (from geneSymbol)	
ENSMUST00000152133.1	chr2	-	26064369	26091819	uc289uca.1	ENSMUST00000152133.1	AK043047			Nacc2			Nacc2 (from geneSymbol)	
ENSMUST00000114159.8	chr2	-	26055534	26092177	uc008iub.2	ENSMUST00000114159.8	NM_001037098	Q9DCM7	NACC2_MOUSE	Nacc2	NM_001037098	NM_001037098	Mus musculus nucleus accumbens associated 2, BEN and BTB (POZ) domain containing (Nacc2), transcript variant 2, mRNA. (from RefSeq NM_001037098)	
ENSMUST00000140993.1	chr2	-	26090085	26122783	uc289ucd.1	ENSMUST00000140993.1	AK002651	A2ARL3	A2ARL3_MOUSE	Nacc2			Nacc2 (from geneSymbol)	
ENSMUST00000149408.1	chr2	-	26090327	26122788	uc289uce.1	ENSMUST00000149408.1	AK147293			Nacc2			Nacc2 (from geneSymbol)	
ENSMUST00000028300.5	chr2	-	26055534	26122818	uc008iuc.2	ENSMUST00000028300.5	NM_026495	Q9DCM7	NACC2_MOUSE	Nacc2	NM_026495	NM_026495	Mus musculus nucleus accumbens associated 2, BEN and BTB (POZ) domain containing (Nacc2), transcript variant 1, mRNA. (from RefSeq NM_026495)	
ENSMUST00000133212.1	chr2	-	26089806	26123220	uc289ucc.1	ENSMUST00000133212.1				Nacc2			Nacc2 (from geneSymbol)	
ENSMUST00000091263.11	chr2	-	26208636	26225371	uc008iuk.3	ENSMUST00000091263.11	AK140324	Q3TMX7	QSOX2_MOUSE	Qsox2			Catalyzes the oxidation of sulfhydryl groups in peptide  and protein thiols to disulfides with the reduction of oxygen to  hydrogen peroxide. May contribute to disulfide bond formation in a  variety of secreted proteins (By similarity). (from UniProt Q3TMX7)	
ENSMUST00000036187.8	chr2	-	26209124	26237525	uc008iuj.3	ENSMUST00000036187.8	NM_153559	Q3TMX7	QSOX2_MOUSE	Qsox2	NM_153559	NM_153559	Mus musculus quiescin Q6 sulfhydryl oxidase 2 (Qsox2), transcript variant 2, mRNA. (from RefSeq NM_153559)	
ENSMUST00000125848.1	chr2	-	26348120	26352100	uc289ucx.1	ENSMUST00000125848.1	AK142070			Dnlz			Dnlz (from geneSymbol)	
ENSMUST00000028295.8	chr2	-	26348120	26352110	uc008iur.3	ENSMUST00000028295.8	NM_026828	Q9D113	DNLZ_MOUSE	Dnlz	NM_026828	NM_026828	Mus musculus DNL-type zinc finger (Dnlz), transcript variant 1, mRNA. (from RefSeq NM_026828)	
ENSMUST00000132941.1	chr2	-	26462217	26462747	uc289ueu.1	ENSMUST00000132941.1	X82562			Notch1			Notch1 (from geneSymbol)	
ENSMUST00000148948.7	chr2	-	26465470	26466163	uc289uev.1	ENSMUST00000148948.7	AB101630			Notch1			Notch1 (from geneSymbol)	
ENSMUST00000138034.7	chr2	-	26465470	26466367	uc289uew.1	ENSMUST00000138034.7	AB101629			Notch1			Notch1 (from geneSymbol)	
ENSMUST00000126872.7	chr2	-	26465470	26466654	uc289uex.1	ENSMUST00000126872.7	AB101628			Notch1			Notch1 (from geneSymbol)	
ENSMUST00000140082.7	chr2	-	26465470	26466794	uc008ivn.2	ENSMUST00000140082.7	AB101626			Notch1			Notch1 (from geneSymbol)	
ENSMUST00000147481.1	chr2	-	26465470	26467613	uc289uey.1	ENSMUST00000147481.1	AB101625			Notch1			Notch1 (from geneSymbol)	
ENSMUST00000123873.1	chr2	-	26468542	26469749	uc289uez.1	ENSMUST00000123873.1	X68278			Notch1			Notch1 (from geneSymbol)	
ENSMUST00000129506.1	chr2	-	26469824	26470498	uc008ivo.2	ENSMUST00000129506.1	AB101637			Notch1			Notch1 (from geneSymbol)	
ENSMUST00000028288.4	chr2	-	26457902	26503822	uc008ivl.3	ENSMUST00000028288.4	NM_008714	Q01705	NOTC1_MOUSE	Notch1	NM_008714	NM_008714	Mus musculus notch 1 (Notch1), mRNA. (from RefSeq NM_008714)	
ENSMUST00000131393.1	chr2	-	26498154	26503824	uc289ufb.1	ENSMUST00000131393.1	AK171329			Notch1			Notch1 (from geneSymbol)	
ENSMUST00000132820.1	chr2	-	26471275	26516663	uc289ufa.1	ENSMUST00000132820.1	AB101636	A2AIX5	A2AIX5_MOUSE	Notch1			Notch1 (from geneSymbol)	
ENSMUST00000135725.1	chr2	-	27024067	27025991	uc289uhy.1	ENSMUST00000135725.1	AK167904			Slc2a6			Slc2a6 (from geneSymbol)	
ENSMUST00000102890.10	chr2	-	27021362	27027909	uc012bst.2	ENSMUST00000102890.10	NM_001177627	A2AR26	A2AR26_MOUSE	Slc2a6	NM_001177627	NM_001177627	Mus musculus solute carrier family 2 (facilitated glucose transporter), member 6 (Slc2a6), transcript variant 2, mRNA. (from RefSeq NM_001177627)	
ENSMUST00000145742.7	chr2	-	27021362	27027922	uc289uhw.1	ENSMUST00000145742.7	BC058210			Slc2a6			Slc2a6 (from geneSymbol)	
ENSMUST00000129835.7	chr2	-	27021362	27027946	uc289uhx.1	ENSMUST00000129835.7	BC025498			Slc2a6			Slc2a6 (from geneSymbol)	
ENSMUST00000153388.1	chr2	-	27026087	27027991	uc289uhz.1	ENSMUST00000153388.1	AK089246	A2AR27	A2AR27_MOUSE	Slc2a6			Slc2a6 (from geneSymbol)	
ENSMUST00000045702.5	chr2	-	27021362	27027998	uc008iwv.2	ENSMUST00000045702.5	NM_172659	Q3UDF0	Q3UDF0_MOUSE	Slc2a6	NM_172659	NM_172659	Mus musculus solute carrier family 2 (facilitated glucose transporter), member 6 (Slc2a6), transcript variant 1, mRNA. (from RefSeq NM_172659)	
ENSMUST00000144315.7	chr2	+	27515156	27520653	uc289ujf.1	ENSMUST00000144315.7	BC025801			Wdr5			Wdr5 (from geneSymbol)	
ENSMUST00000125088.1	chr2	+	27527771	27533355	uc289ujh.1	ENSMUST00000125088.1	BC016103			Wdr5			Wdr5 (from geneSymbol)	
ENSMUST00000140396.1	chr2	+	27519760	27535043	uc289ujg.1	ENSMUST00000140396.1	BC016103	F6Q3W0	F6Q3W0_MOUSE	Wdr5			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F6Q3W0)	
ENSMUST00000113952.9	chr2	+	27515156	27536535	uc012bsw.4	ENSMUST00000113952.9	NM_080848	P61965	WDR5_MOUSE	Wdr5	NM_080848	NM_080848	Mus musculus WD repeat domain 5 (Wdr5), mRNA. (from RefSeq NM_080848)	
ENSMUST00000136444.1	chr2	+	29806997	29810903	uc289unw.1	ENSMUST00000136444.1	CT010312			Slc27a4			Slc27a4 (from geneSymbol)	
ENSMUST00000080065.2	chr2	+	29802633	29817522	uc008jaf.2	ENSMUST00000080065.2	NM_011989	Q91VE0	S27A4_MOUSE	Slc27a4	NM_011989	NM_011989	Mus musculus solute carrier family 27 (fatty acid transporter), member 4 (Slc27a4), mRNA. (from RefSeq NM_011989)	
ENSMUST00000113634.2	chr2	+	30286426	30303809	uc289urw.1	ENSMUST00000113634.2	BC028665	A2AWI5	A2AWI5_MOUSE	Nup188			Nup188 (from geneSymbol)	
ENSMUST00000138666.7	chr2	+	30286423	30303810	uc008jbz.2	ENSMUST00000138666.7	BC028665	J3JSA4	J3JSA4_MOUSE	Nup188			Nup188 (from geneSymbol)	
ENSMUST00000156023.7	chr2	+	30286416	30304092	uc289urv.1	ENSMUST00000156023.7	AK052272			Nup188			Nup188 (from geneSymbol)	
ENSMUST00000148969.7	chr2	+	30286396	30307732	uc289uru.1	ENSMUST00000148969.7	AK052272	F2Z4A7	F2Z4A7_MOUSE	Nup188			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F2Z4A7)	
ENSMUST00000133603.1	chr2	+	30286428	30326686	uc008jca.2	ENSMUST00000133603.1	AK052272			Nup188			Nup188 (from geneSymbol)	
ENSMUST00000133421.1	chr2	+	30342939	30344145	uc289ury.1	ENSMUST00000133421.1	BC050199			Nup188			Nup188 (from geneSymbol)	
ENSMUST00000064447.11	chr2	+	30286396	30344266	uc008jcb.2	ENSMUST00000064447.11	NM_198304	Q6ZQH8	NU188_MOUSE	Nup188	NM_198304	NM_198304	Mus musculus nucleoporin 188 (Nup188), transcript variant 1, mRNA. (from RefSeq NM_198304)	
ENSMUST00000142689.1	chr2	-	30345140	30346101	uc289usb.1	ENSMUST00000142689.1	AK155248			Sh3glb2			Sh3glb2 (from geneSymbol)	
ENSMUST00000142720.1	chr2	-	30346107	30347587	uc289use.1	ENSMUST00000142720.1	AK129455			Sh3glb2			Sh3glb2 (from geneSymbol)	
ENSMUST00000146400.7	chr2	-	30345885	30347656	uc289usd.1	ENSMUST00000146400.7	AK129455			Sh3glb2			Sh3glb2 (from geneSymbol)	
ENSMUST00000140899.7	chr2	-	30348089	30354880	uc289usg.1	ENSMUST00000140899.7	AK129455			Sh3glb2			Sh3glb2 (from geneSymbol)	
ENSMUST00000140801.7	chr2	-	30348067	30355365	uc289usf.1	ENSMUST00000140801.7	AK129455			Sh3glb2			Sh3glb2 (from geneSymbol)	
ENSMUST00000100215.10	chr2	-	30344808	30359240	uc008jcd.3	ENSMUST00000100215.10	NM_001289709	Q8R3V5	SHLB2_MOUSE	Sh3glb2	NM_001289709	NM_001289709	Mus musculus SH3-domain GRB2-like endophilin B2 (Sh3glb2), transcript variant 1, mRNA. (from RefSeq NM_001289709)	
ENSMUST00000151145.7	chr2	-	30349482	30359245	uc289ush.1	ENSMUST00000151145.7	AK152502			Sh3glb2			Sh3glb2 (from geneSymbol)	
ENSMUST00000139963.1	chr2	-	30349739	30359260	uc289usi.1	ENSMUST00000139963.1	AK152502			Sh3glb2			Sh3glb2 (from geneSymbol)	
ENSMUST00000113620.9	chr2	-	30344810	30359265	uc008jce.3	ENSMUST00000113620.9	NM_001289710	A2AWI9	A2AWI9_MOUSE	Sh3glb2	NM_001289710	NM_001289710	Mus musculus SH3-domain GRB2-like endophilin B2 (Sh3glb2), transcript variant 3, mRNA. (from RefSeq NM_001289710)	
ENSMUST00000163668.2	chr2	-	30344810	30359289	uc289urz.1	ENSMUST00000163668.2	AK167762	Q8R3V5	SHLB2_MOUSE	Sh3glb2			Homodimer, and heterodimer with SH3GLB1 (By similarity). (from UniProt Q8R3V5)	
ENSMUST00000151354.7	chr2	-	30345134	30359305	uc289usa.1	ENSMUST00000151354.7	BC028859			Sh3glb2			Sh3glb2 (from geneSymbol)	
ENSMUST00000028214.14	chr2	-	30344808	30359316	uc008jcc.3	ENSMUST00000028214.14	NM_139302	Q8R3V5	SHLB2_MOUSE	Sh3glb2	NM_139302	NM_139302	Mus musculus SH3-domain GRB2-like endophilin B2 (Sh3glb2), transcript variant 2, mRNA. (from RefSeq NM_139302)	
ENSMUST00000113621.9	chr2	-	30344810	30359332	uc057lch.2	ENSMUST00000113621.9	NM_001346806	A2AWI7	A2AWI7_MOUSE	Sh3glb2	NM_001346806	NM_001346806	Mus musculus SH3-domain GRB2-like endophilin B2 (Sh3glb2), transcript variant 4, mRNA. (from RefSeq NM_001346806)	
ENSMUST00000128387.7	chr2	-	30345819	30359337	uc289usc.1	ENSMUST00000128387.7	AK167762			Sh3glb2			Sh3glb2 (from geneSymbol)	
ENSMUST00000159932.1	chr2	+	30416301	30428402	uc289utr.1	ENSMUST00000159932.1	AK046288			Ptpa			Ptpa (from geneSymbol)	
ENSMUST00000152165.7	chr2	+	30416136	30432029	uc289uto.1	ENSMUST00000152165.7	BC052852	D6RFC2	D6RFC2_MOUSE	Ptpa			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RFC2)	
ENSMUST00000128516.1	chr2	+	30428353	30438101	uc289uts.1	ENSMUST00000128516.1	AY035997			Ptpa			Ptpa (from geneSymbol)	
ENSMUST00000135105.1	chr2	+	30445715	30446776	uc289uty.1	ENSMUST00000135105.1	AY035997			Ptpa			Ptpa (from geneSymbol)	
ENSMUST00000136009.2	chr2	+	30442734	30446806	uc289utv.1	ENSMUST00000136009.2	AY035997	B7ZDE0	B7ZDE0_MOUSE	Ptpa			Ptpa (from geneSymbol)	
ENSMUST00000137741.1	chr2	+	30443218	30446899	uc289utw.1	ENSMUST00000137741.1	AY035997			Ptpa			Ptpa (from geneSymbol)	
ENSMUST00000125561.6	chr2	+	30438228	30446950	uc289utt.1	ENSMUST00000125561.6	AY035997	F6Z6I0	F6Z6I0_MOUSE	Ptpa			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F6Z6I0)	
ENSMUST00000130741.1	chr2	+	30445655	30447074	uc289utx.1	ENSMUST00000130741.1	AK046288			Ptpa			Ptpa (from geneSymbol)	
ENSMUST00000131476.7	chr2	+	30441852	30447131	uc289utu.1	ENSMUST00000131476.7	AK046288	B7ZDE0	B7ZDE0_MOUSE	Ptpa			Ptpa (from geneSymbol)	
ENSMUST00000113603.9	chr2	+	30416141	30447617	uc289utp.1	ENSMUST00000113603.9	BC052852	A2AWE9	A2AWE9_MOUSE	Ptpa			Ptpa (from geneSymbol)	
ENSMUST00000125743.7	chr2	+	30416195	30447804	uc289utq.1	ENSMUST00000125743.7	AK160980			Ptpa			Ptpa (from geneSymbol)	
ENSMUST00000042055.9	chr2	+	30416038	30447805	uc008jcn.3	ENSMUST00000042055.9	NM_138748	Q543N6	Q543N6_MOUSE	Ptpa	NM_138748	NM_138748	Mus musculus protein phosphatase 2 protein activator (Ptpa), transcript variant 2, mRNA. (from RefSeq NM_138748)	
ENSMUST00000113601.9	chr2	+	30416130	30447806	uc289utn.1	ENSMUST00000113601.9	AK049184	A2AWF0	A2AWF0_MOUSE	Ptpa			Ptpa (from geneSymbol)	
ENSMUST00000146423.1	chr2	-	32377096	32381862	uc289vcg.1	ENSMUST00000146423.1	AK081091	A0A0A6YXJ8		1110008P14Rik			1110008P14Rik (from geneSymbol)	
ENSMUST00000048792.4	chr2	-	32379100	32381938	uc008jfk.3	ENSMUST00000048792.4	NM_198001	P58686	CI016_MOUSE	1110008P14Rik	NM_198001	NM_198001	Mus musculus RIKEN cDNA 1110008P14 gene (1110008P14Rik), mRNA. (from RefSeq NM_198001)	
ENSMUST00000123714.3	chr2	+	32396439	32401023	uc289vcm.1	ENSMUST00000123714.3	AK050616	A0A0A6YWP8		Ptges2			Ptges2 (from geneSymbol)	
ENSMUST00000130121.2	chr2	+	32397470	32401576	uc289vcn.1	ENSMUST00000130121.2	AK050616			Ptges2			Ptges2 (from geneSymbol)	
ENSMUST00000028162.4	chr2	+	32395895	32405772	uc008jfm.3	ENSMUST00000028162.4	NM_133783	Q8BWM0	PGES2_MOUSE	Ptges2	NM_133783	NM_133783	Mus musculus prostaglandin E synthase 2 (Ptges2), mRNA. (from RefSeq NM_133783)	
ENSMUST00000153782.1	chr2	-	32416208	32416571	uc289vcq.1	ENSMUST00000153782.1	BC004720			Slc25a25			Slc25a25 (from geneSymbol)	
ENSMUST00000143092.1	chr2	-	32417171	32417830	uc289vcs.1	ENSMUST00000143092.1	BC022114			Slc25a25			Slc25a25 (from geneSymbol)	
ENSMUST00000128611.3	chr2	-	32417091	32420450	uc289vcr.1	ENSMUST00000128611.3	BC022114			Slc25a25			Slc25a25 (from geneSymbol)	
ENSMUST00000153886.6	chr2	-	32419047	32421980	uc289vcu.1	ENSMUST00000153886.6	BC022114	A0A0A6YWC1		Slc25a25			Slc25a25 (from geneSymbol)	
ENSMUST00000113307.8	chr2	-	32415059	32424005	uc008jfn.3	ENSMUST00000113307.8	NM_001290558	A2ASZ8	SCMC2_MOUSE	Slc25a25	NM_001290558	NM_001290558	Mus musculus solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25 (Slc25a25), transcript variant 4, mRNA. (from RefSeq NM_001290558)	
ENSMUST00000113308.7	chr2	-	32414969	32430752	uc289vcp.1	ENSMUST00000113308.7	BC066998	A2ASZ8	SCMC2_MOUSE	Slc25a25			Calcium-dependent mitochondrial solute carrier.  Mitochondrial solute carriers shuttle metabolites, nucleotides,  and cofactors through the mitochondrial inner membrane. May act as  a ATP-Mg/Pi exchanger that mediates the transport of Mg-ATP in  exchange for phosphate, catalyzing the net uptake or efflux of  adenine nucleotides into or from the mitochondria (By similarity). (from UniProt A2ASZ8)	
ENSMUST00000127961.2	chr2	-	32419129	32431104	uc289vcv.1	ENSMUST00000127961.2	AK122568	F6RC04	F6RC04_MOUSE	Slc25a25			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F6RC04)	
ENSMUST00000136361.7	chr2	-	32417417	32431105	uc289vct.1	ENSMUST00000136361.7	AK122568	Z4YLR9		Slc25a25			Slc25a25 (from geneSymbol)	
ENSMUST00000052119.13	chr2	-	32414486	32431119	uc008jfo.3	ENSMUST00000052119.13	NM_001164358	A2ASZ8	SCMC2_MOUSE	Slc25a25	NM_001164358	NM_001164358	Mus musculus solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25 (Slc25a25), transcript variant 3, mRNA. (from RefSeq NM_001164358)	
ENSMUST00000194756.1	chr2	-	32427348	32431169	uc289vcw.1	ENSMUST00000194756.1	AK137883			Slc25a25			Slc25a25 (from geneSymbol)	
ENSMUST00000028160.14	chr2	-	32414486	32451422	uc008jfp.3	ENSMUST00000028160.14	NM_146118	A2ASZ8	SCMC2_MOUSE	Slc25a25	NM_146118	NM_146118	Mus musculus solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25 (Slc25a25), transcript variant 1, mRNA. (from RefSeq NM_146118)	
ENSMUST00000113310.8	chr2	-	32414489	32451445	uc008jfq.3	ENSMUST00000113310.8	NM_001164357	A2ASZ8	SCMC2_MOUSE	Slc25a25	NM_001164357	NM_001164357	Mus musculus solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25 (Slc25a25), transcript variant 2, mRNA. (from RefSeq NM_001164357)	
ENSMUST00000156578.7	chr2	+	32628389	32631135	uc289vdy.1	ENSMUST00000156578.7	DQ486026	Z4YN97		Ak1			Ak1 (from geneSymbol)	
ENSMUST00000195721.5	chr2	+	32625437	32631172	uc289vdx.1	ENSMUST00000195721.5	AK089270	A0A0A6YXW8		Ak1			Ak1 (from geneSymbol)	
ENSMUST00000135392.1	chr2	+	32629520	32633400	uc289vdz.1	ENSMUST00000135392.1	AJ010109			Ak1			Ak1 (from geneSymbol)	
ENSMUST00000068271.4	chr2	+	32629503	32635052	uc008jgj.3	ENSMUST00000068271.4	NM_021515	Q9R0Y5	KAD1_MOUSE	Ak1	NM_021515	NM_021515	Mus musculus adenylate kinase 1 (Ak1), transcript variant 1, mRNA. (from RefSeq NM_021515)	
ENSMUST00000113277.7	chr2	+	32625436	32635054	uc008jgi.3	ENSMUST00000113277.7	NM_001198791	Q9R0Y5	KAD1_MOUSE	Ak1	NM_001198791	NM_001198791	Mus musculus adenylate kinase 1 (Ak1), transcript variant 3, mRNA. (from RefSeq NM_001198791)	
ENSMUST00000113278.8	chr2	+	32621757	32635058	uc008jgh.2	ENSMUST00000113278.8	NM_001198792	Q9R0Y5	KAD1_MOUSE	Ak1	NM_001198792	NM_001198792	Mus musculus adenylate kinase 1 (Ak1), transcript variant 4, mRNA. (from RefSeq NM_001198792)	
ENSMUST00000195776.1	chr2	-	32935844	32938799	uc289vgc.1	ENSMUST00000195776.1	AK211988			Lrsam1			Lrsam1 (from geneSymbol)	
ENSMUST00000195713.1	chr2	-	32929590	32941829	uc289vgb.1	ENSMUST00000195713.1	BC049146	A0A0A6YWS5		Lrsam1			Lrsam1 (from geneSymbol)	
ENSMUST00000147528.7	chr2	-	32954235	32959906	uc289vgf.1	ENSMUST00000147528.7	BC049146	A2AHX4	A2AHX4_MOUSE	Lrsam1			Lrsam1 (from geneSymbol)	
ENSMUST00000191838.5	chr2	-	32954239	32961251	uc289vgg.1	ENSMUST00000191838.5	BC049146	A0A0A6YWV2		Lrsam1			Lrsam1 (from geneSymbol)	
ENSMUST00000028132.13	chr2	-	32925215	32961255	uc008jhd.3	ENSMUST00000028132.13	NM_199302	Q80ZI6	LRSM1_MOUSE	Lrsam1	NM_199302	NM_199302	Mus musculus leucine rich repeat and sterile alpha motif containing 1 (Lrsam1), mRNA. (from RefSeq NM_199302)	
ENSMUST00000133832.7	chr2	-	32954222	32961592	uc289vge.1	ENSMUST00000133832.7	BC049146	A2AHX5	A2AHX5_MOUSE	Lrsam1			Lrsam1 (from geneSymbol)	
ENSMUST00000124492.7	chr2	-	32957248	32961593	uc289vgh.1	ENSMUST00000124492.7	BC049146	A2AHX3	A2AHX3_MOUSE	Lrsam1			Lrsam1 (from geneSymbol)	
ENSMUST00000145578.7	chr2	-	32957255	32961593	uc289vgi.1	ENSMUST00000145578.7	BC049146	A2AHX2	A2AHX2_MOUSE	Lrsam1			Lrsam1 (from geneSymbol)	
ENSMUST00000127321.7	chr2	-	32954220	32961599	uc289vgd.1	ENSMUST00000127321.7	BC049146	A2AHX6	A2AHX6_MOUSE	Lrsam1			Lrsam1 (from geneSymbol)	
ENSMUST00000145699.1	chr2	-	32960246	32961600	uc289vgj.1	ENSMUST00000145699.1	BC049146			Lrsam1			Lrsam1 (from geneSymbol)	
ENSMUST00000138015.1	chr2	-	32961073	32961606	uc289vgk.1	ENSMUST00000138015.1				Lrsam1			Lrsam1 (from geneSymbol)	
ENSMUST00000113200.7	chr2	-	32925219	32961614	uc289vga.1	ENSMUST00000113200.7	BC049146	Q80ZI6	LRSM1_MOUSE	Lrsam1			E3 ubiquitin-protein ligase that mediates  monoubiquitination of TSG101 at multiple sites, leading to  inactivate the ability of TSG101 to sort endocytic (EGF receptors)  cargos (By similarity). (from UniProt Q80ZI6)	
